,Mitch,Trim,Doc,Scott
MVP,Kevin Durant,Karl-Anthony Towns,Lebron James,Steph Curry
ROY,Dennis Smith Jr,Lonzo Ball,Dennis Smith Jr,Lonzo Ball
MIP,Deangelo Russell,Khris Middleton,Rodney Hood,Nikola Jokic
6MOY,Eric Gordon,JR Smith,JR Smith,Rudy Gay
DPOY,Rudy Gobert,Draymond Green,Draymond Green,Draymond Green
Comeback,Chandler Parsons,Zach Lavine,Justise Winslow,Joel Embiid
COY,Billy Donovan,Scott Brooks,Brad Stevens,Eric Spoelstra
