Action,PPS,PercentAssisted
Three Point Jumper,0.994954197,0.855161206
Layup,1.081375462,0.439008887
Two Point Jumper,0.694524029,0.415238039
Tip In,1.311439518,0
Dunk,1.77431177,0.718948667
