FT%,3FG%,OREB%,DREB%,AST%,PPP,opp_PPP,eFG%,opp_eFG%,TOV%,FTr,3PAr,STL%,BLK%,Pace,opp_Pace,ORtg,DRtg,NetRtg
0.654411765,0.316532258,0.319767442,0.68,0.479196557,0.989929402,0.965190488,0.472002435,0.467761934,0.184281561,0.331101643,0.301886792,0.10770366,0.091754495,62.14193548,62.29758065,98.9929402,96.51904879,2.473891409
0.780680918,0.352306771,0.282112274,0.62,0.590269637,1.111476451,1.008660328,0.543921675,0.509026339,0.178781411,0.343486538,0.453902638,0.130351324,0.042024268,65.96948529,65.88529412,111.1476451,100.8660328,10.28161237
0.70487106,0.316546763,0.35,0.7,0.503968254,0.990011819,0.961687463,0.474595843,0.468639053,0.218766657,0.403002309,0.240762125,0.117030749,0.096449704,69.5983871,69.73629032,99.0011819,96.16874631,2.832435582
0.636925795,0.355513308,0.31224582,0.67,0.559365079,1.060870814,0.978793599,0.51742889,0.452547857,0.178327788,0.315672058,0.440044618,0.077417357,0.078997034,66.31269841,66.63531746,106.0870814,97.87935994,8.207721471
0.651804671,0.32739212,0.357852883,0.71,0.54517134,0.990662528,1.035183375,0.483267064,0.508396705,0.233598121,0.468190855,0.353214049,0.096702845,0.043726236,65.66398305,65.90169492,99.06625282,103.5183375,-4.452084719
0.688741722,0.31884058,0.385269122,0.67,0.530935252,0.977365748,1.011230396,0.46579417,0.501901141,0.23078061,0.359309935,0.328375967,0.07569386,0.067807351,67.59666667,67.37666667,97.73657478,101.1230396,-3.386464846
0.722488038,0.355737705,0.306060606,0.7,0.578817734,1.098751093,1.062912197,0.543709392,0.517726505,0.191586939,0.370348494,0.360307147,0.0759223,0.019696117,67.34919355,67.13145161,109.8751093,106.2912197,3.583889582
0.579459459,0.346432265,0.271943996,0.66,0.6104,0.894787485,1.070976127,0.484615385,0.536010621,0.241016623,0.316239316,0.330598291,0.104498284,0.025224029,67.27455357,68.01205357,89.47874847,107.0976127,-17.61886422
0.716894977,0.383966245,0.352214212,0.7,0.550890585,1.071733921,0.997827661,0.529589372,0.49244713,0.216755175,0.39673913,0.286231884,0.083514362,0.048338369,66.97016129,66.82258065,107.1733921,99.78276611,7.390625987
0.744239631,0.34525661,0.348343685,0.67,0.522408964,0.997178726,0.985706388,0.481539424,0.470994475,0.22594833,0.40738423,0.201188986,0.106844907,0.079496624,64.41984127,63.88134921,99.71787259,98.57063877,1.147233816
0.68492123,0.343017807,0.373898447,0.69,0.479859895,1.029275843,1.00461313,0.483796887,0.481509819,0.199073542,0.34013779,0.272263332,0.078742287,0.07345065,66.24891304,66.99528986,102.9275843,100.461313,2.46627128
0.729220779,0.336569579,0.327203065,0.72,0.572959184,1.08410287,0.979574038,0.503600465,0.480137322,0.169397279,0.357723577,0.287108014,0.112982032,0.042667974,70.92253521,71.05704225,108.410287,97.95740379,10.45288317
0.653950954,0.293269231,0.304843305,0.7,0.519271198,0.950974203,1.018525352,0.476614363,0.478573483,0.216721113,0.332226916,0.313820157,0.098900288,0.068162209,69.13516949,68.89322034,95.09742031,101.8525352,-6.755114935
0.674789916,0.345937249,0.289017341,0.72,0.479367263,0.993224201,1.031633218,0.47522779,0.494252874,0.177969659,0.338838269,0.353929385,0.100946828,0.028735632,71.88362069,71.5637931,99.3224201,103.1633218,-3.84090175
0.679347826,0.342066958,0.259962049,0.65,0.711388456,0.987886383,1.024879897,0.475250627,0.479902558,0.172827903,0.345864662,0.430451128,0.08801052,0.061510353,61.78064516,61.94274194,98.78863826,102.4879897,-3.699351426
0.660535117,0.272727273,0.388099467,0.67,0.531824611,0.980337857,1.071648894,0.449334105,0.522656735,0.207446942,0.3462652,0.292993631,0.108272797,0.087523277,66.20166667,66.19083333,98.03378565,107.1648894,-9.131103743
0.701945525,0.32208589,0.33037694,0.68,0.531900604,0.964728203,1.026368472,0.464719165,0.500425653,0.216172708,0.362686988,0.276037257,0.091975061,0.056469921,70.13508065,70.49596774,96.47282031,102.6368472,-6.164026917
0.725022915,0.373083475,0.316021558,0.72,0.61299639,1.068901229,1.04584879,0.48902439,0.525841947,0.157167773,0.332621951,0.357926829,0.094763456,0.034344782,60.34233871,60.7625,106.8901229,104.584879,2.305243897
0.686656672,0.326955075,0.32079646,0.72,0.504944376,1.027664409,0.923052366,0.4880312,0.4466971,0.17998259,0.358795051,0.323292093,0.101927966,0.079215897,67.00984848,66.44621212,102.7664409,92.30523663,10.4612043
0.632270169,0.270509978,0.348727615,0.66,0.485130112,0.84378908,1.060916619,0.397478434,0.537358239,0.235821183,0.353682814,0.299270073,0.102210926,0.048032021,64.97053571,65.34107143,84.37890802,106.0916619,-21.71275386
0.655594406,0.323133415,0.326068734,0.64,0.529012346,1.047190803,1.068897194,0.498017446,0.505710491,0.177544966,0.302405498,0.431932329,0.104440452,0.067729084,73.12542373,73.3529661,104.7190803,106.8897194,-2.170639143
0.733788396,0.305426357,0.361382419,0.7,0.630385488,1.042181142,0.932021718,0.467349857,0.439830109,0.186360864,0.418970448,0.307435653,0.102177789,0.08541765,67.58175676,67.45,104.2181142,93.20217178,11.01594242
